vertices_number,edges_number,used_edges_number
10,average,210
10,average,80
10,average,498
10,average,268
10,average,79
10,average,261
10,average,168
10,average,57
10,average,546
10,average,216
10,small,27
10,small,228
10,small,146
10,small,49
10,small,445
10,small,183
10,small,16
10,small,474
10,small,71
10,small,100
10,big,329
10,big,203
10,big,85
10,big,434
10,big,233
10,big,66
10,big,279
10,big,155
10,big,51
10,big,495
20,average,3129
20,average,455
20,average,5333
20,average,1831
20,average,878
20,average,4991
20,average,3575
20,average,1044
20,average,5435
20,average,3267
20,small,282
20,small,6458
20,small,2799
20,small,1279
20,small,6175
20,small,4173
20,small,531
20,small,5322
20,small,3900
20,small,835
20,big,5875
20,big,1922
20,big,1290
20,big,6018
20,big,3155
20,big,94
20,big,5706
20,big,2490
20,big,415
20,big,3978
30,average,12403
30,average,4408
30,average,22860
30,average,12834
30,average,1816
30,average,23656
30,average,14346
30,average,2135
30,average,20893
30,average,9017
30,small,1052
30,small,25587
30,small,9773
30,small,3070
30,small,20133
30,small,9564
30,small,3307
30,small,21438
30,small,9850
30,small,2260
30,big,17763
30,big,5919
30,big,3838
30,big,20552
30,big,10934
30,big,3019
30,big,25125
30,big,10638
30,big,2991
30,big,19561
40,average,27301
40,average,8378
40,average,64651
40,average,22706
40,average,7558
40,average,63477
40,average,29901
40,average,5417
40,average,49903
40,average,26117
40,small,6433
40,small,45522
40,small,31266
40,small,7916
40,small,58012
40,small,30372
40,small,4940
40,small,55351
40,small,30085
40,small,10683
40,big,64404
40,big,27090
40,big,8737
40,big,58520
40,big,29712
40,big,6689
40,big,61524
40,big,28998
40,big,3050
40,big,51048
50,average,56300
50,average,9720
50,average,126312
50,average,36024
50,average,20695
50,average,108916
50,average,67520
50,average,13387
50,average,108774
50,average,61394
50,small,10250
50,small,122866
50,small,59516
50,small,14455
50,small,123804
50,small,48394
50,small,13905
50,small,140504
50,small,58159
50,small,12434
50,big,128985
50,big,50230
50,big,11990
50,big,132083
50,big,62907
50,big,24878
50,big,119444
50,big,50764
50,big,21574
50,big,105565
60,average,107526
60,average,30842
60,average,226511
60,average,87536
60,average,23169
60,average,199245
60,average,77729
60,average,31690
60,average,216279
60,average,83182
60,small,31835
60,small,199446
60,small,72574
60,small,27495
60,small,189687
60,small,110352
60,small,35019
60,small,226052
60,small,97274
60,small,32894
60,big,247663
60,big,90974
60,big,32022
60,big,228395
60,big,110608
60,big,26082
60,big,202233
60,big,98842
60,big,27728
60,big,192538
70,average,116320
70,average,36906
70,average,372651
70,average,127856
70,average,50081
70,average,389460
70,average,136506
70,average,43993
70,average,355872
70,average,185012
70,small,50868
70,small,383129
70,small,159859
70,small,41415
70,small,323535
70,small,160542
70,small,39145
70,small,359885
70,small,154634
70,small,32026
70,big,295923
70,big,175052
70,big,35485
70,big,363301
70,big,150670
70,big,47711
70,big,346278
70,big,150222
70,big,41440
70,big,366871
80,average,228494
80,average,64464
80,average,519879
80,average,243077
80,average,59039
80,average,502057
80,average,245845
80,average,77646
80,average,481376
80,average,211940
80,small,60118
80,small,614951
80,small,228389
80,small,74337
80,small,577260
80,small,263865
80,small,62478
80,small,567816
80,small,231567
80,small,66605
80,big,561577
80,big,303050
80,big,56553
80,big,502756
80,big,278766
80,big,95232
80,big,514336
80,big,213028
80,big,86021
80,big,530024
90,average,340484
90,average,110643
90,average,730752
90,average,313744
90,average,125560
90,average,771836
90,average,374645
90,average,80927
90,average,784326
90,average,350879
90,small,105089
90,small,805800
90,small,385552
90,small,85052
90,small,646534
90,small,402891
90,small,69321
90,small,760129
90,small,329396
90,small,75511
90,big,708684
90,big,394478
90,big,92721
90,big,714039
90,big,345921
90,big,98651
90,big,651893
90,big,271980
90,big,78824
90,big,868471
100,average,412426
100,average,142038
100,average,1094769
100,average,530347
100,average,161307
100,average,1008339
100,average,512081
100,average,117604
100,average,1015457
100,average,554791
100,small,141878
100,small,1093764
100,small,490068
100,small,137150
100,small,1079136
100,small,414183
100,small,98205
100,small,1001007
100,small,498177
100,small,122465
100,big,1087463
100,big,535141
100,big,170304
100,big,1078201
100,big,502822
100,big,158495
100,big,1000901
100,big,461789
100,big,114850
100,big,993885
